Species,CommonName,ReviewID,MetaSiteID,Duplicate,Publication.Year,Radius,Sampling,Sampling Technique,Activities,Sat F,Sat M,Sat U,Sat A,Sat AB,Sat AI,Sat I,Sat J,Sat Sub,Sat Unk,F,M,U,A,AB,AI,I,J,SUB,UNK,Basin,Long,Lat,N. Pub
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,CS,FALSE,2002,1,RADIO TAG,Acoustic Telemetry,FEE,,,,,,,,,,,,1,7,,,,,,,8,PAC,-113.53,28.975,1
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,CS,TRUE,2002,1,RADIO TAG,Acoustic Telemetry,FEE,,,,,,,,,,,,1,,,,,,,,1,PAC,-113.503,28.909,1
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,CS,TRUE,2002,1,RADIO TAG,Acoustic Telemetry,FEE,,,,,,,,,,,,1,2,,,,,,,3,PAC,-113.488,28.995,1
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,AG,TRUE,1998,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,6,,,,6,,,,,,6,,,,6,,,,,,ATL,-14.4,-7.9,1
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,CH,FALSE,1998,5,SATELLITE TAG (ARGOS),Satellite Telemetry,MIG;OBS,,,,,,,,,,,5,,,5,,,,,,,ATL,-34.8,-7,1
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,EK,FALSE,1998,5,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,1,,,1,,,,,,,ATL,-18,-9,1
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,CE,FALSE,2016,1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),Satellite Telemetry,FEE,19,3,,22,,,,,,,4,,,4,,,,,,,PAC,142,-10,1
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,CN,FALSE,2016,1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),Satellite Telemetry,FEE,,,,,,,,,,,2,,,2,,,,,,,PAC,152,-24,1
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,CN,FALSE,2016,1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,152.5,-25,1
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,CX,TRUE,2016,1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),Satellite Telemetry,FEE,,,,,,,,,,,9,2,,11,,,,,,,PAC,153,-27,1
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,EL,FALSE,2016,1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),Satellite Telemetry,FEE,,,,,,,,,,,,1,,1,,,,,,,PAC,146.5,-19,1
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,EM,FALSE,2016,1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),Satellite Telemetry,FEE,,,,,,,,,,,2,,,2,,,,,,,PAC,146,-18,1
CHMY,Green,43RSEFSA_Brand-Gardner_etal_1999_Chmy,CX,FALSE,1999,1,FLIPPER TAG,Mark-Recapture,FEE,,,,,,,,,,,,,41,,,,,41,,,PAC,153.41,-27.34,1
CHMY,Green,43RSEFSA_Brand-Gardner_etal_1999_Chmy,CX,TRUE,1999,1,ACOUSTIC/SONIC TAG (TELEMETRY),Acoustic Telemetry,FEE,,,4,,,,4,,,,,,,,,,,,,,PAC,153.41,-27.34,1
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,AH,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,2,,,,2,,,,,,1,,,1,,,,,,,ATL,-61.7,17.6,1
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,AI,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,,,,,,,,,,,1,,,,1,,,,,,ATL,-71.1,21.4,1
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,AI,FALSE,2015,1,SIGHTINGS (NO TAG/SAMPLE),Sightings,NES,,,,,,,,,,,22,,,,22,,,,,,ATL,-71.5,21.8,1
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,AI,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,1,,,1,,,,,,,ATL,-71.4,21.7,1
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,AI,TRUE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,1,,,1,,,,,,,ATL,-71.5,21.8,1
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,EN,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,ATL,-64.7,17.7,1
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,AJ,FALSE,2014,1,PASSIVE INTEGRATED TRANSPONDER (PIT),Mark-Recapture,NES,,,,,,,,,,,10,,,,10,,,,,,PAC,114.136,22.192,1
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,AJ,TRUE,2014,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,,,,,,,,,,,10,,,,10,,,,,,PAC,114.136,22.192,1
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,CP,FALSE,2014,1,SATELLITE TAG (ARGOS),Satellite Telemetry,MIG,3,,,,3,,,,,,1,,,1,,,,,,,PAC,110.262,20.238,1
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,CP,FALSE,2014,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,110.579,18.848,1
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,CP,FALSE,2014,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,107.739,20.134,1
CHMY,Green,5MFUG3SV_Nelson_1994_Chmy,CF,FALSE,1994,1,ACOUSTIC/SONIC TAG (TELEMETRY); RADIO TAG,Acoustic Telemetry,OBS,,,7,,,,,7,,,,,7,,,,,1,,6,ATL,-80.5,28.3,1
CHMY,Green,69G2XFXH_Hays_etal_2001_Chmy,AG,TRUE,2001,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,1,,,,1,,,,,,1,,,,1,,,,,,ATL,-14.4,-7.9,1
CHMY,Green,69G2XFXH_Hays_etal_2001_Chmy,CH,FALSE,2001,5,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,1,,,1,,,,,,,ATL,-34.8,-7,1
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,AK,TRUE,2008,1,Argos; GLS,Satellite Telemetry,NES,,,,,,,,,,,13,,,,13,,,,,,ATL,33.78,35.5,1
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,AK,TRUE,2008,1,Argos; GLS,Satellite Telemetry,OBS,9,,,,9,,,,,,9,,,,6,9,,,,,ATL,33.7,34.9,1
CHMY,Green,76V7QMUX_McClellan_and_Read_2010_Chmy,CU,FALSE,2010,1,ACOUSTIC/SONIC TAG (TELEMETRY); SATELLITE TAG (ARGOS),Combined Techniques,FEE,10,,,,,,,10,,,,,10,,,,,10,,,ATL,-75.5,35.2,1
