MetaUniqueID_From,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Connections.to.Foraging,Basin,RMU_From,MetaUniqueID_To,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Site,Connections.to.Foraging,Basin,RMU_To,Lat1,Lon1,Lat2,Lon2,Distance
METACHMY_BO,NES,Continental,"Terengganu, Malaysia;Chagar Hutang beach, Pulau Redang, Malaysia;Chagar Hutang beach, Redang Island, Malaysia;Ma'Daerah Turtle Sanctuary, Paka, Terengganu, Malaysia;Ma'Daerah Turtle Sanctuary;Paka, Terengganu, Malaysia",5.023852832,103.2935716,13,1,NA,8,PAC,6,METACHMY_BL,NES,Island,"Derawan Island, East Kalimantan, Indonesia;Sangalaki, Indonesia;Derawan, Indonesia;Panjang Island, East Kalimantan, Indonesia",2.005199631,118.4636001,226,1,NA,1,2,PAC,6,0.087682773,1.802812921,0.034997336,2.067579866,1716.579089
METACHMY_BL,NES,Island,"Derawan Island, East Kalimantan, Indonesia;Sangalaki, Indonesia;Derawan, Indonesia;Panjang Island, East Kalimantan, Indonesia",2.005199631,118.4636001,226,1,NA,2,PAC,6,METACHMY_BN,NES,Island,"Phillippines;Southern side of Basilan Island, Philippines",6.3785,121.965,6,1,NA,1,1,PAC,6;8,0.034997336,2.067579866,0.111325826,2.128690822,622.23488
METACHMY_GS,NA,NA,NA,3.283,103.433,NA,NA,NA,NA,NA,6,METACHMY_BO,NES,Continental,"Terengganu, Malaysia;Chagar Hutang beach, Pulau Redang, Malaysia;Chagar Hutang beach, Redang Island, Malaysia;Ma'Daerah Turtle Sanctuary, Paka, Terengganu, Malaysia;Ma'Daerah Turtle Sanctuary;Paka, Terengganu, Malaysia",5.023852832,103.2935716,13,1,NA,1,8,PAC,6,0.057299159,1.805246405,0.087682773,1.802812921,194.1938724
METACHMY_BW,NES,Island,"Itsamia Beach, Moheli Is;Mahali, Comoros, West Indian Ocean",-12.363,43.7095,2,1,NA,1,IND,5,METACHMY_BS,NES,Island,"Vamizi Island, Querimbas archipelago, northern Mozambique;Mozambique",-11.26666534,40.63966667,56,1,NA,1,4,IND,5,-0.215775055,0.762874689,-0.196640406,0.70929599,355.6561199
METACHMY_AV,NES,Continental,"Tortuguero, Costa Rica;Costa Rica;Waters around Tortuguero, Costa Rica",10.25399986,-83.23399996,47338,1,NA,13,ATL,1,METACHMY_BT,NES,Island,"St Eustatius, Caribbean;St. Kitts & St. Nevis",17.46800001,-62.90200004,27,1,NA,1,1,ATL,1,0.178966059,-1.452707349,0.304874114,-1.097847007,2334.718652
METACHMY_GR,NA,NA,NA,-12.909,41.84,NA,NA,NA,NA,NA,5,METACHMY_BW,NES,Island,"Itsamia Beach, Moheli Is;Mahali, Comoros, West Indian Ocean",-12.363,43.7095,2,1,NA,1,1,IND,5,-0.225304553,0.730245759,-0.215775055,0.762874689,216.5632514
METACHMY_CF,FEE,Coastal,"East Gulf of Mexico;Folrida Waters;Southeast Gulf of Mexico;St. Joseph's Bay, Florida;Near Everglades National Park;West of Cape Sable;Cape Canaveral, Patrick, Florida;East Florida;North coast of Cuba;Southeast Florida;Boca Raton, Florida;West of Longboat Key, Florida;South of Biscayne National Park",27.32750841,-83.10989568,83,5,2,3,ATL,1,METACHMY_BZ,NES,Island,Keewaydin Island and Sanibel Island,26.218,-81.945,10,1,NA,1,1,ATL,1,0.476954998,-1.450541321,0.457590423,-1.430210056,169.0960546
METACHMY_CS,NA,NA,NA,28.975,-113.53,NA,NA,NA,NA,NA,11,METACHMY_CA,NES,Continental,"Michoacan beaches, Mexico",18.523,-103.69,3,1,NA,1,1,PAC,11,0.505709151,-1.9814723,0.323287337,-1.809731901,1596.218199
METACHMY_DZ,NA,NA,NA,-21.135,55.525,NA,NA,NA,NA,NA,5,METACHMY_CD,NES,Island,"Tromelin Island, West Indian Ocean;Offshore Tromelin Island, West Indian Ocean",-15.721,54.665,2,1,NA,1,1,IND,5,-0.368875337,0.969094067,-0.274383212,0.954084236,609.5571171
METACHMY_AY,NES,Island,"Lacepede Is;West & Lacepede Islands, Western Australia",-16.85,122.1173333,11,1,NA,6,IND,6,METACHMY_CE,FEE,Insular,"Coastal Raine Island;North of Cape York,Australia;Torres Strait;Torres Straight, Australia;Torres Strait, Australia",-10.39138906,142.4845648,12,5,2,1,NA,PAC,6;7,-0.294087979,2.13134954,-0.181363953,2.486824789,2313.313986
