Species,CommonName,ReviewID,ZoteroID,Ver.,Method,SiteID,Location,Radius,Sampling,NumIDs,Numroutes,Numconns,Years,Monthsstart,Monthsend,Monthssampled,Activities,Behaviour,Sex,Lifestage,UniqueID,UniqueID_from,UniqueID_to,Title,Publication Year,Author,Basin,Long,Lat
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,F,Southern Sri Lankan waters,1,Argos,3,1,NA,2006; 2007,JUL; AUG; SEP,AUG; OCT; NOV,NA,FEE,FEE,"{ ""F"" : 3 }","{ ""A"" : 3 }",2AE5WGEN_F,2AE5WGEN_F,2AE5WGEN_F,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,80.731,5.903
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,G,Gulf of Mannar,1,Argos,4,1,NA,2006; 2007,JUL; AUG; SEP,AUG; OCT; NOV,NA,FEE,FEE,"{ ""F"" : 4 }","{ ""A"" : 4 }",2AE5WGEN_G,2AE5WGEN_G,2AE5WGEN_G,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,79.255,9.117
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,H,"Karnataka, India",1,Argos,2,1,NA,2006; 2007,SEP; NOV,JAN; NOV,NA,FEE,FEE,"{ ""F"" : 2 }","{ ""A"" : 2 }",2AE5WGEN_H,2AE5WGEN_H,2AE5WGEN_H,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,74.481,14.009
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,I,Lakshadweep Islands,1,Argos,1,1,NA,2006,NOV,DEC,NA,FEE,FEE,"{ ""F"" : 1 }","{ ""A"" : 1 }",2AE5WGEN_I,2AE5WGEN_I,2AE5WGEN_I,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,73.063,8.287
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,2DIWCUSF,1.00E+06,MR,A,"Huyong Island, Thailand",1,PASSIVE INTEGRATED TRANSPONDER (PIT),94,1,1,1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004,JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),NA,NES,NES,"{ ""F"" : 94 }","{ ""AB"" : 94 }",2DIWCUSF_A,2DIWCUSF_A,2DIWCUSF_A,Do female green turtles (Chelonia mydas) exhibit reproductive seasonality in a year-round nesting rookery?,2006,"Yasuda, T.; Tanaka, H.; Kittiwattanawong, K.; Mitamura, H.; Klom-in, W.; Arai, N.",IND,97.647,8.48
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,2DIWCUSF,1.00E+06,T,A,"Huyong Island, Thailand",1,SATELLITE TAG (ARGOS),94,1,1,1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004,JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),NA,NES,NES,"{ ""F"" : 94 }","{ ""AB"" : 94 }",2DIWCUSF_A,2DIWCUSF_A,2DIWCUSF_A,Do female green turtles (Chelonia mydas) exhibit reproductive seasonality in a year-round nesting rookery?,2006,"Yasuda, T.; Tanaka, H.; Kittiwattanawong, K.; Mitamura, H.; Klom-in, W.; Arai, N.",IND,97.647,8.48
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,2DIWCUSF,1.00E+06,MR,B,"Huyong Island, Thailand",1,PASSIVE INTEGRATED TRANSPONDER (PIT),17,NA,NA,1999; 2000; 2001; 2002; 2003; 2004,JAN; FEB; MAR; APR; MAY; JUN; AUG; NOV,JAN; FEB; MAR; APR; MAY; JUN; AUG; NOV,NA,NES,NES,"{ ""F"" : 17 }","{ ""AB"" : 17 }",2DIWCUSF_B,2DIWCUSF_B,2DIWCUSF_B,Do female green turtles (Chelonia mydas) exhibit reproductive seasonality in a year-round nesting rookery?,2006,"Yasuda, T.; Tanaka, H.; Kittiwattanawong, K.; Mitamura, H.; Klom-in, W.; Arai, N.",IND,97.647,8.48
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,2DIWCUSF,1.00E+06,T,C,"Andaman Islands, India",1,SATELLITE TAG (ARGOS),5,1,NA,2000; 2001; 2002,JUN; SEP,JAN; SEP; OCT; NOV,NA,FEE,FEE,"{ ""F"" : 5 }","{ ""A"" : 5 }",2DIWCUSF_C,2DIWCUSF_C,2DIWCUSF_C,Do female green turtles (Chelonia mydas) exhibit reproductive seasonality in a year-round nesting rookery?,2006,"Yasuda, T.; Tanaka, H.; Kittiwattanawong, K.; Mitamura, H.; Klom-in, W.; Arai, N.",IND,92.844,11.974
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,2DIWCUSF,1.00E+06,T,D,"Phura Thong Island, Thailand",1,SATELLITE TAG (ARGOS),2,NA,1,2000; 2002; 2003,MAR; JUN,JUN; JUL,NA,FEE,FEE,"{ ""F"" : 2 }","{ ""A"" : 2 }",2DIWCUSF_D,2DIWCUSF_D,2DIWCUSF_D,Do female green turtles (Chelonia mydas) exhibit reproductive seasonality in a year-round nesting rookery?,2006,"Yasuda, T.; Tanaka, H.; Kittiwattanawong, K.; Mitamura, H.; Klom-in, W.; Arai, N.",IND,98.239,9.007
CHMY,Green,2G3JABPA_McClellan_etal_2009_Chmy,2G3JABPA,1.00E+06,T,A,"Pamlico Sound inshore waters, North Carolina",1,SATELLITE TAG (ARGOS),7,NA,NA,2002; 2003,SEP; (UNK),DEC; (UNK),NA,OBS,OBS,"{ ""U"" : 7 }","{ ""UNK"" : 7 }",2G3JABPA_A,2G3JABPA_A,2G3JABPA_A,Using telemetry to mitigate the bycatch of long-lived marine vertebrates,2009,"McClellan, C. M.; Read, A. J.; Price, B. A.; Cluse, W. M.; Godfrey, M. H.",ATL,-75.5,35.3
